item_id	level	deck_id	source_position	pattern	meaning	usage	example_jp	example_vi	tags	status
N4-GRAMMAR-2012	N4	n4_grammar_jlpt	2012	〜だけ 〜KĐ	Chỉ có ~/Chỉ làm ~		静かなのは食事の時だけだ。	Chỉ im lặng vào lúc ăn cơm thôi.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:3;item:12;frequency:4;exams:T12/2021,T7/2017,T7/2014,T12/2012	ocr_ready
N4-GRAMMAR-2013	N4	n4_grammar_jlpt	2013	Vる／Vている／Vた ＋ ところです	Sắp làm ~/ Đang làm ~/ Vừa mới ~		電車に乗るところです | 食べているところです | 来たところです。	Tôi chuẩn bị lên tàu. | Tôi đang ăn. | Tôi vừa mới đến.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:4;item:13;frequency:8;exams:T12/2025,T7/2025,T7/2024,T12/2021,T7/2021,T12/2013,T7/2013,T7/2017	ocr_ready
N4-GRAMMAR-2014	N4	n4_grammar_jlpt	2014	Vた／Vない + ほうがいい	Nên/Không nên làm ~		出さないほうがいい。	Không nên nộp thì tốt hơn.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:4;item:14;frequency:7;exams:T12/2025,T7/2025,T7/2024,T7/2023,T7/2018,T7/2014,T12/2013	ocr_ready
N4-GRAMMAR-2015	N4	n4_grammar_jlpt	2015	普通形 + そうです	Nghe nói là...	Truyền đạt lại thông tin nghe từ người khác	明日雨が降るそうです。	Nghe nói ngày mai trời sẽ mưa.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:4;item:15;frequency:7;exams:T7/2025,T12/2024,T7/2024,T7/2023,T7/2014,T12/2013,T7/2013	ocr_ready
N4-GRAMMAR-2016	N4	n4_grammar_jlpt	2016	A(い,na) ／ V(ます) + そうです	Trông, trông có vẻ/Sắp ~	Phán đoán dựa vào vẻ bề ngoài	おいしそうですね。 | 財布が落ちそうですよ。	Trông ngon nhỉ. | Ví cậu sắp rơi rồi kìa.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:5;item:16;frequency:6;exams:T12/2025,T7/2018,T7/2017,T7/2013,T12/2012,2011-2010	ocr_ready
N4-GRAMMAR-2017	N4	n4_grammar_jlpt	2017	〜ておく	Làm sẵn, làm trước / Điều cần phải làm / Giữ nguyên trạng thái		買い物しておく。 | 食べ終わったら、食器を洗っておく。 | エアコンをつけておいてください。	Mua sắm sẵn. | Sau khi ăn xong tôi sẽ rửa bát đũa. | Hãy để nguyên điều hoà cho tôi.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:5;item:17;frequency:6;exams:T12/2024,T7/2023,T7/2018,T7/2014,T12/2013,2010-2011	ocr_ready
N4-GRAMMAR-2018	N4	n4_grammar_jlpt	2018	Vたまま、〜	Để nguyên, giữ nguyên trạng thái cũ		買ったまま読んでいない。	Mua về rồi cứ để nguyên chưa đọc.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:5;item:18;frequency:5;exams:T7/2025,T7/2024,T12/2022,T7/2017,T12/2012	ocr_ready
N4-GRAMMAR-2019	N4	n4_grammar_jlpt	2019	Vてしまう／Vてしまった	Hoàn thành, xong/Lỡ ~	Diễn tả cảm giác tiếc nuối	宿題をやってしまった。 | 財布を忘れてしまった。	Con làm xong hết bài tập rồi. | Tôi lỡ quên ví mất rồi.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:5;item:19;frequency:5;exams:T12/2025,T7/2025,T12/2022,T7/2018,2010-2011	ocr_ready
N4-GRAMMAR-2020	N4	n4_grammar_jlpt	2020	Vる／Vない ＋ ように、〜	Để ~	Mục đích không có tính ý chí (V tự động từ/thể khả năng)	忘れないように、メモしておく。	Để không quên thì tôi ghi chép sẵn lại.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:6;item:20;frequency:2;exams:T7/2025,T7/2014	ocr_ready
N4-GRAMMAR-2021	N4	n4_grammar_jlpt	2021	Vる／Nの ＋ ために、〜	Để, vì, cho	Mục đích có ý chí (V thường là tha động từ)	健康のために、毎日運動する。	Tôi vận động mỗi ngày vì sức khỏe.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:6;item:21;frequency:5;exams:T7/2025,T7/2014,T12/2013,T7/2013,T12/2021	ocr_ready
N4-GRAMMAR-2022	N4	n4_grammar_jlpt	2022	N／Vるの ＋ に	Để/Cho	Mục đích: dùng để ~, đánh giá, tốn tiền/thời gian để làm V1	私の家はスーパーが近くて、買い物に便利です。	Nhà tôi gần siêu thị nên tiện cho việc mua sắm.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:6;item:22;frequency:5;exams:T7/2025,T12/2024,T7/2023,T7/2018,2010-2011	ocr_ready
N4-GRAMMAR-2023	N4	n4_grammar_jlpt	2023	普通形（だ→な） ＋ のに、〜	Thế mà / Vậy mà ~	Vế sau ngược với dự đoán, bất ngờ, khó chịu,…	約束したのに、来なかった。	Đã hứa rồi thế mà không chịu đến.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:7;item:23;frequency:5;exams:T12/2025,T12/2024,T7/2023,T7/2018,2010-2011	ocr_ready
N4-GRAMMAR-2024	N4	n4_grammar_jlpt	2024	普通形（だ→な） ＋ んですが、〜	Mào đầu câu chuyện	Dùng khi muốn xin lỗi, nhờ vả,…	お願いしたいんですが。	Tôi có chút việc muốn nhờ vả anh...	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:7;item:24;frequency:5;exams:T7/2025,T7/2024,T7/2021,T7/2013,2010-2011	ocr_ready
N4-GRAMMAR-2025	N4	n4_grammar_jlpt	2025	N人 ＋ によって ＋ Vられる	Bởi/Do ai đó...		この辞書は外国人によって作られた。	Từ điển này được làm bởi người nước ngoài.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:7;item:25;frequency:5;exams:T12/2025,T7/2018,T7/2014,T12/2013,T7/2018	ocr_ready
N4-GRAMMAR-2026	N4	n4_grammar_jlpt	2026	普通形 + のは / のも、〜	Cái việc... / Việc...	Danh từ hóa	初めて会ったのは 3 年前です。	Lần đầu gặp là 3 năm trước.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:7;item:26;frequency:5;exams:T12/2024,T7/2024,T7/2023,T12/2022,T12/2013	ocr_ready
N4-GRAMMAR-2027	N4	n4_grammar_jlpt	2027	Lượng từ + も	Những..., tận...	Dùng để nhấn mạnh số lượng đó rất nhiều	3 回も食べるんですか。	Cậu ăn tận 3 lần cơ á?	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:8;item:27;frequency:3;exams:T7/2023,T7/2021,T7/2018	ocr_ready
N4-GRAMMAR-2028	N4	n4_grammar_jlpt	2028	Lượng từ + で	Với ~/Trong vòng ~		学校まで 10 分で行けます。	Trong vòng 10 phút là có thể đi đến trường.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:8;item:28;frequency:4;exams:T7/2018,T7/2014,T12/2013,2010-2011	ocr_ready
N4-GRAMMAR-2029	N4	n4_grammar_jlpt	2029	Mốc thời gian + ごろ	Khoảng ~	So sánh: くらい／ぐらい	3 時ごろ終わります。	Sẽ kết thúc vào khoảng 3 giờ.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:8;item:29;frequency:4;exams:T7/2025,T7/2023,T7/2021,T12/2013	ocr_ready
N4-GRAMMAR-2030	N4	n4_grammar_jlpt	2030	〜までに	Trước ~	Hạn chót, chậm nhất ~	明日の９時までに、宿題を出してください。	Hãy nộp bài tập trước 9h ngày mai.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:8;item:30;frequency:2;exams:T7/2024,T7/2017	ocr_ready
N4-GRAMMAR-2031	N4	n4_grammar_jlpt	2031	〜まで	Đến ~	Mốc thời gian	毎日 8 時から 5 時まで働いています。	Mỗi ngày tôi làm việc từ 8h đến 5h	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:9;item:31;frequency:2;exams:T12/2022,T7/2014	ocr_ready
N4-GRAMMAR-2032	N4	n4_grammar_jlpt	2032	普通形（だ）＋ かもしれない	Có lẽ... / Không chừng...	So sánh: 〜でしょう	雨が降るかもしれない。	Không chừng trời sắp đổ mưa rồi.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:9;item:32;frequency:5;exams:T7/2025,T12/2024,T7/2021,T7/2018,T7/2014	ocr_ready
N4-GRAMMAR-2033	N4	n4_grammar_jlpt	2033	Vた ＋ ことがある	Đã từng ~	So sánh Vる＋ことがある: Thi thoảng	日本へ行ったことがあります。	Tôi đã từng đi Nhật.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:9;item:33;frequency:4;exams:T12/2024,T7/2024,T7/2023,T7/2013	ocr_ready
N4-GRAMMAR-2034	N4	n4_grammar_jlpt	2034	Vよう + と思っている	Định làm ~		本を返そうと思っている。	Tôi đang định trả lại sách.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:9;item:34;frequency:4;exams:T7/2024,T7/2021,2011-2010	ocr_ready
N4-GRAMMAR-2035	N4	n4_grammar_jlpt	2035	Vる／Vない ＋ つもりです	Định làm/không làm ~		国に帰るつもりです。	Tôi dự định sẽ về nước.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:10;item:35;frequency:3;exams:T7/2021,T7/2017,T7/2014	ocr_ready
N4-GRAMMAR-2036	N4	n4_grammar_jlpt	2036	N の／V る ＋ 予定です	Dự định làm ~		来週、日本に旅行する予定です。	Tuần sau tôi định đi du lịch Nhật Bản.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:10;item:36;frequency:1;exams:T12/2025	ocr_ready
N4-GRAMMAR-2037	N4	n4_grammar_jlpt	2037	普通形 ＋ し、 普通形 ＋ し、〜	Vừa ~ vừa	Liệt kê cùng tính chất/Liệt kê nguyên nhân	山田さんは親切だし、優しいし、それに熱心です。 | この店はおいしいし、安いし、element_placeholder_for_jp	Yamada vừa thân thiện, vừa tốt bụng, lại còn nhiệt tình nữa. | Cửa hàng này vừa ngon, vừa rẻ thế nên lúc nào cũng đông khách.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:10;item:37;frequency:4;exams:T12/2025,T7/2023,T7/2017,T7/2013	ocr_ready
N4-GRAMMAR-2038	N4	n4_grammar_jlpt	2038	匂い／味／音／声 ＋ がする	Có mùi / vị / âm thanh / tiếng gì đó.		変な音がします。	Có tiếng động lạ phát ra.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:10;item:38;frequency:3;exams:T7/2023,T7/2018,T7/2014	ocr_ready
N4-GRAMMAR-2039	N4	n4_grammar_jlpt	2039	V1 ないで、 V2	Không làm V1 mà làm V2	Có thể dùng: ないで＝ずに (しないで → せずに)	コーヒーはさとうを入れないで、飲みます。	Uống cà phê mà không cho đường.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:11;item:39;frequency:4;exams:T12/2025,T12/2024,T12/2021,T12/2013	ocr_ready
N4-GRAMMAR-2040	N4	n4_grammar_jlpt	2040	N人 を Vさせる	Khiến cho / Làm cho N ~	Thể sai khiến với động từ tự phát (笑う, 泣く, 心配する, 安心する, 喜ぶ)	両親を心配させた。	Tôi đã làm cho bố mẹ lo lắng.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:11;item:40;frequency:4;exams:T7/2024,T7/2021,T7/2018,T7/2014	ocr_ready
N4-GRAMMAR-2041	N4	n4_grammar_jlpt	2041	〜かどうか、	~ hay không	Dạng khác: Vる Vないか、〜	彼は来るかどうかわからない。	Anh ấy có đến hay không thì tôi không biết.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:11;item:41;frequency:4;exams:T12/2025,T7/2024,T7/2018,2010-2011	ocr_ready
N4-GRAMMAR-2042	N4	n4_grammar_jlpt	2042	Từ nghi vấn ＋ Vtt（だ） ＋ か、〜	Lồng câu nghi vấn có từ để hỏi vào câu thông thường		どこに置いたか覚えていない。	Tôi không nhớ là đã để ở đâu.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:11;item:42;frequency:5;exams:T12/2024,T12/2022,T12/2021,T7/2021,T7/2018	ocr_ready
N4-GRAMMAR-2043	N4	n4_grammar_jlpt	2043	Vる／Vない ＋ ようにしてください	Hãy cố gắng ~		遅れないようにしてください。	Hãy cố gắng không đến muộn.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:12;item:43;frequency:4;exams:T7/2024,T12/2021,T12/2013,T7/2013	ocr_ready
N4-GRAMMAR-2044	N4	n4_grammar_jlpt	2044	N + について	Về vấn đề N		歴史について調べています。	Tôi đang tìm hiểu về lịch sử.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:12;item:44;frequency:4;exams:T12/2024,T7/2024,T7/2014,T12/2013	ocr_ready
N4-GRAMMAR-2045	N4	n4_grammar_jlpt	2045	Vる／Nの途中で、〜	Giữa chừng / Trên đường ~		うちへ帰る途中でコンビニに寄った。	Trên đường về nhà đã ghé vào tiệm tiện lợi.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:12;item:45;frequency:4;exams:T7/2024,T7/2018,T12/2013,T7/2013	ocr_ready
N4-GRAMMAR-2046	N4	n4_grammar_jlpt	2046	Nから／で ＋ 作られる	Được làm từ/bằng ~		お酒は米から作られる。	Rượu được làm từ gạo.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:12;item:46;frequency:3;exams:T7/2025,T7/2021,2010-2011	ocr_ready
N4-GRAMMAR-2047	N4	n4_grammar_jlpt	2047	N + で	Vì ~		仕事で飛行機に乗る。	Tôi đi máy bay vì lý do công việc.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:13;item:47;frequency:3;exams:T7/2023,T7/2021,T7/2013	ocr_ready
N4-GRAMMAR-2048	N4	n4_grammar_jlpt	2048	まだ V ていない	Vẫn chưa ~		彼はまだ来ていません。	Anh ấy vẫn chưa đến nơi.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:13;item:48;frequency:3;exams:T7/2024,T7/2021,T7/2014	ocr_ready
N4-GRAMMAR-2049	N4	n4_grammar_jlpt	2049	Vる／Vない ＋ ようになる	Đã có thể ~	Biến đổi trạng thái từ không thể sang có thể hoặc ngược lại.	やっと日本語が話せるようになった。	Cuối cùng tôi cũng có thể nói tiếng Nhật.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:13;item:49;frequency:1;exams:T7/2024	ocr_ready
N4-GRAMMAR-2050	N4	n4_grammar_jlpt	2050	V（普）／A／N の + ようです	Hình như, có vẻ	Phán đoán dựa trên các giác quan	彼女は風邪をひいたようです。	Hình như cô ấy bị cảm mất rồi.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:13;item:50;frequency:3;exams:T7/2018,T7/2017,T7/2014	ocr_ready
N4-GRAMMAR-2051	N4	n4_grammar_jlpt	2051	普通形（だ） ＋ みたい	Hình như, có vẻ/Giống như/Như là	Phán đoán, so sánh ví von, đưa ra ví dụ	母みたいに料理が上手になりたい。	Tôi muốn nấu ăn giỏi như mẹ của tôi.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:14;item:51;frequency:1;exams:T7/2025	ocr_ready
N4-GRAMMAR-2052	N4	n4_grammar_jlpt	2052	～と言います	Nói là/rằng ~		うでにつける時計を「うでどけい」と言います。	Cái đồng hồ đeo vào tay thì được gọi là udedokei.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:14;item:52;frequency:3;exams:T7/2024,T12/2021,T7/2014	ocr_ready
N4-GRAMMAR-2053	N4	n4_grammar_jlpt	2053	N1（の中）で N2 が一番 A です	Trong N1 thì N2 ~ nhất	Một số từ tương tự: 一番＝最も	今日は一年で夜が最も長い日です。	Hôm nay là ngày mà đêm dài nhất trong năm.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:14;item:53;frequency:3;exams:T7/2025,T7/2023,T12/2013	ocr_ready
N4-GRAMMAR-2054	N4	n4_grammar_jlpt	2054	N + より	Hơn N		私は父より背が高い。	Tôi có chiều cao cao hơn bố tôi.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:14;item:54;frequency:2;exams:T12/2024,T7/2014	ocr_ready
N4-GRAMMAR-2055	N4	n4_grammar_jlpt	2055	Aく／Aに + V	Tính từ bổ nghĩa cho động từ	Động từ đuôi い + く, đuôi な + に (Trong PDF viết nhầm A いく／A なに)	花が早く咲きました。	Hoa đã nở sớm hơn.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:15;item:55;frequency:2;exams:T7/2023,T7/2013	ocr_ready
N4-GRAMMAR-2056	N4	n4_grammar_jlpt	2056	N／V る ＋ なら	Nếu là ~	Vế sau đưa ra lời khuyên, quan điểm,…	温泉ならハクバがいい。	Nếu đi suối nước nóng thì vùng Hakuba được đấy.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:15;item:56;frequency:2;exams:T7/2025,T7/2023	ocr_ready
N4-GRAMMAR-2057	N4	n4_grammar_jlpt	2057	N は （私に） V てくれる	N làm ~ cho tôi		彼はペンを貸してくれました。	Anh ấy đã cho tôi mượn bút.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:15;item:57;frequency:1;exams:T7/2017	ocr_ready
N4-GRAMMAR-2058	N4	n4_grammar_jlpt	2058	N１は N2 に／から N3 を V てもらう	N1 được N2 làm ~ cho		先生に宿題を直してもらった。	Tôi được giáo viên sửa bài tập cho.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:15;item:58;frequency:2;exams:T7/2023,T7/2017	ocr_ready
N4-GRAMMAR-2059	N4	n4_grammar_jlpt	2059	Vてもらえる？／Vてもらえませんか？／Vてくれませんか？	Anh/Chị làm ~ giúp em được không?	Dùng khi nhờ vả	トマトを切ってもらえる？	Em thái cà chua hộ chị được không?	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:16;item:59;frequency:2;exams:T7/2023,T12/2021	ocr_ready
N4-GRAMMAR-2060	N4	n4_grammar_jlpt	2060	N にする	Lựa chọn/Quyết định ~		カレーにする。	Tôi chọn món cà ri.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:16;item:60;frequency:2;exams:T7/2024,T7/2017	ocr_ready
N4-GRAMMAR-2061	N4	n4_grammar_jlpt	2061	V てくる	① Tiến lại gần... / ② Thay đổi từ quá khứ đến hiện tại.		トイレに行ってきます。 | 最近、寒くなってきた。	Tớ đi vệ sinh nha – rồi quay lại. | Dạo gần đây, trời lạnh hơn rồi.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:16;item:61;frequency:2;exams:T7/2021,2011-2010	ocr_ready
N4-GRAMMAR-2062	N4	n4_grammar_jlpt	2062	V ると、〜	Nếu, cứ hễ, hễ mà, khi, thì	Diễn tả chân lý, sự thật, điều hiển nhiên.	4 月になると桜が咲く。	Sang tháng 4 là hoa anh đào nở.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:16;item:62;frequency:1;exams:T7/2021	ocr_ready
N4-GRAMMAR-2063	N4	n4_grammar_jlpt	2063	V たら、〜	Nếu/Sau khi ~		晴れたら、テニスをしよう。	Nếu trời nắng lên thì cùng đi chơi tennis nhé.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:17;item:63;frequency:2;exams:T7/2021,2010-2011	ocr_ready
N4-GRAMMAR-2064	N4	n4_grammar_jlpt	2064	N1 に N2 が V てある	Ở N1 có N2 đang ~/Đã làm ~		壁に写真がかけてあります。 | 赤ちゃんの名前はもうつけてあります。	Trên tường có đang treo bức ảnh. | Tên của em bé đã được đặt rồi.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:17;item:64;frequency:2;exams:T7/2025,T7/2023	ocr_ready
N4-GRAMMAR-2065	N4	n4_grammar_jlpt	2065	～のを忘れる	Quên làm ~		本を持っていくのを忘れた。	Tôi quên mang sách đi mất rồi.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:17;item:65;frequency:1;exams:T12/2021	ocr_ready
