ref_id	level	category	page	topic	usage	example_jp	example_vi	tags	status
N4-REF-0011	N4	honorific-reference	64	もらう	Kính ngữ và khiêm nhường ngữ đặc biệt: khiêm nhường ngữ「いただく」			page-64,honorific-reference,kính-ngữ-khiêm-nhường-ngữ-đặc-biệt	ready
N4-REF-0012	N4	honorific-reference	64	くれる	Kính ngữ và khiêm nhường ngữ đặc biệt: kính ngữ「くださる」			page-64,honorific-reference,kính-ngữ-khiêm-nhường-ngữ-đặc-biệt	ready
N4-REF-0013	N4	honorific-reference	64	あげる	Kính ngữ và khiêm nhường ngữ đặc biệt: khiêm nhường ngữ「さしあげる」			page-64,honorific-reference,kính-ngữ-khiêm-nhường-ngữ-đặc-biệt	ready
N4-REF-0014	N4	particle-reference	65	は: chủ đề câu	Dùng sau danh từ/cụm danh từ, thể hiện chủ đề của câu	このスマートフォンは少し古いです。	Chiếc điện thoại thông minh này hơi cũ.	page-65,particle-reference,trợ-từ	ready
N4-REF-0015	N4	particle-reference	65	は: đối chiếu, so sánh	Thể hiện sự đối chiếu, so sánh của các sự vật sự việc	コーヒーは好きですが、お茶は好きじゃありません。 | 部長とは話したことがありますが、社長とは話したことがありません。 | 子供には難しいです。	Cà phê thì tôi rất thích, nhưng trà thì tôi không thích. | Với trưởng bộ phận thì tôi đã từng nói chuyện rồi nhưng với giám đốc thì tôi chưa từng. | Với trẻ con thì sẽ khó.	page-65,particle-reference,trợ-từ	ready
N4-REF-0016	N4	particle-reference	65	が: chủ đề câu	Đứng sau danh từ/cụm danh từ, thể hiện chủ đề của câu	マイさんが手伝ってくれました。 | 彼がクラスで一番背が高いです。	Mai đã giúp tôi. | Anh ấy là người cao nhất lớp.	page-65,particle-reference,trợ-từ	ready
N4-REF-0017	N4	particle-reference	65	が: chủ thể hành động, tác động	Thể hiện chủ thể hành động, chủ thể tác động	かばんが落ちた。 | 私が財布を盗みました。	Cái túi bị rơi. | Tôi chính là người đã lấy trộm ví.	page-65,particle-reference,trợ-từ	ready
N4-REF-0018	N4	particle-reference	65	が: chủ thể tồn tại	Thể hiện chủ thể đang tồn tại, thường đi kèm với động từ「ある、いる」	明日は仕事があります。 | いすの上にねこがいます。	Ngày mai tôi có công việc. | Có con mèo ở trên cái ghế.	page-65,particle-reference,trợ-từ	ready
N4-REF-0019	N4	particle-reference	65	が: đối tượng khả năng, năng lực	Thể hiện đối tượng của một khả năng, năng lực	私はピアノが弾けます。 | お酒が飲めますか。	Tôi có thể chơi đàn piano. | Bạn có thể uống rượu không?	page-65,particle-reference,trợ-từ	ready
N4-REF-0020	N4	particle-reference	65	が: nhưng, tuy nhiên	Nối 2 mệnh đề trong câu, khi này「が」có nghĩa là “nhưng, tuy nhiên”	この車はかっこいいですが、高いです。 | 私の部屋は古いですが、広いです。	Cái xe này rất ngầu nhưng đắt. | Căn phòng của tôi tuy cũ nhưng rộng.	page-65,particle-reference,trợ-từ	ready
N4-REF-0021	N4	particle-reference	65	が: làm mềm câu	Đứng giữa câu để làm mềm câu, đưa ra lời dẫn cho một yêu cầu, nhờ vả nào đó	すみませんが、ちょっといいですか。	Xin lỗi, cho tôi hỏi một chút được không?	page-65,particle-reference,trợ-từ	ready
N4-REF-0022	N4	particle-reference	66	を: đối tượng hành động	Chỉ đối tượng của hành động, thường kết hợp với tha động từ	コーヒーを飲みます。 | 本を借ります。	Uống cà phê. | Mượn sách.	page-66,particle-reference,trợ-từ	ready
N4-REF-0023	N4	particle-reference	66	を: địa điểm di chuyển	Chỉ địa điểm diễn ra sự di chuyển, sự di chuyển thường từ điểm đầu đến cuối của địa điểm	公園をさんぽします。 | 橋を渡ります。 | 道を歩きます。 | 鳥が空を飛んでいます。 | 階段をのぼります。	Dạo bộ trong công viên. | Băng qua cầu. | Đi bộ trên đường. | Con chim đang bay trên bầu trời. | Leo lên cầu thang.	page-66,particle-reference,trợ-từ	ready
N4-REF-0024	N4	particle-reference	66	を: nơi xuất phát	Chỉ địa điểm là nơi xuất phát của một sự rời đi	駅を出る。 | 息子は来年高校を卒業します。	Ra khỏi nhà ga. | Con trai tôi năm sau sẽ tốt nghiệp cấp ba.	page-66,particle-reference,trợ-từ	ready
N4-REF-0025	N4	particle-reference	66	で: địa điểm hành động	Chỉ địa điểm diễn ra hành động, hoạt động, sự kiện	家で映画を見る。 | 日本で働きます。 | 学校で試合があります。	Xem phim tại nhà. | Làm việc ở Nhật Bản. | Có một trận đấu ở trường học.	page-66,particle-reference,trợ-từ	ready
N4-REF-0026	N4	particle-reference	66	で: cách thức, phương tiện, công cụ	Chỉ cách thức, phương tiện, công cụ	カードで払います。 | はしで食べます。 | スマートフォンで写真をとります。	Trả bằng thẻ. | Ăn bằng đũa. | Chụp ảnh bằng điện thoại thông minh.	page-66,particle-reference,trợ-từ	ready
N4-REF-0027	N4	particle-reference	66	で: nguyên liệu	Chỉ nguyên liệu	土でできた家	Ngôi nhà được làm từ đất.	page-66,particle-reference,trợ-từ	ready
N4-REF-0028	N4	particle-reference	66	で: nguyên nhân, lý do	Chỉ nguyên nhân, lý do	かぜで学校を休みました。 | じしんで窓がわれました。	Nghỉ học do bị cảm cúm. | Cái cửa sổ bị vỡ do động đất.	page-66,particle-reference,trợ-từ	ready
N4-REF-0029	N4	particle-reference	66	で: điều kiện, trạng thái	Diễn tả điều kiện, trạng thái thực hiện một hành động	3人でレストランに行きました。 | 兄弟でゲームをしました。	Ba người chúng tôi đã đi ăn nhà hàng. | Anh em chúng tôi đã chơi trò chơi điện tử với nhau.	page-66,particle-reference,trợ-từ	ready
N4-REF-0030	N4	particle-reference	66	で: giới hạn phạm vi	Diễn tả giới hạn phạm vi	この町で有名なレストラン | 私は家族で一番背が高いです。	Nhà hàng nổi tiếng trong con phố này. | Trong gia đình tôi là người cao nhất.	page-66,particle-reference,trợ-từ	ready
N4-REF-0031	N4	particle-reference	67	に: Chỉ địa điểm tồn tại cái gì đó	Chỉ địa điểm tồn tại cái gì đó（thường đi kèm với động từ ある、いる）	机の上に本があります。 | あそこにねこがいます。	Trên bàn có cuốn sách. | Ở đó có một con mèo.	page-67,particle-reference,trợ-từ	ready
N4-REF-0032	N4	particle-reference	67	に: Chỉ đích đến hoặc hướng đến của hành động	Chỉ đích đến hoặc hướng đến của hành động	会社に行きます。 | 部屋に入ります。	Đi đến công ty. | Vào trong phòng.	page-67,particle-reference,trợ-từ	ready
N4-REF-0033	N4	particle-reference	67	に: Chỉ mục đích	Chỉ mục đích	アルバイトに行きます。 | 京都へ旅行に行きます。	Đi làm thêm. | Đi đến Kyoto để du lịch.	page-67,particle-reference,trợ-từ	ready
N4-REF-0034	N4	particle-reference	67	に: Chỉ kết quả của sự thay đổi	Chỉ kết quả của sự thay đổi	恋人になります。 | 新しいスマートフォンに替えます。	Trở thành người yêu. | Đổi sang điện thoại thông minh mới.	page-67,particle-reference,trợ-từ	ready
N4-REF-0035	N4	particle-reference	67	に: Chỉ một mốc thời gian diễn ra sự việc	Chỉ một mốc thời gian diễn ra sự việc	毎朝8時に家を出ます。 | 来年の2月に日本を旅行します。	Mỗi sáng tôi đều ra khỏi nhà lúc 8 giờ. | Tháng 2 năm sau tôi sẽ đi du lịch Nhật Bản.	page-67,particle-reference,trợ-từ	ready
N4-REF-0036	N4	particle-reference	67	に: Chỉ đối tượng hướng đến của hành động	Chỉ đối tượng hướng đến của hành động	友達に会います。 | 親に言います。 | 友達に写真を見せます。	Gặp bạn bè. | Nói với bố mẹ. | Cho bạn xem ảnh.	page-67,particle-reference,trợ-từ	ready
N4-REF-0037	N4	particle-reference	67	へ: Chỉ địa điểm mục tiêu, phương hướng mà hành động di chuyển hướng tới	Chỉ địa điểm mục tiêu, phương hướng mà hành động di chuyển hướng tới	学校へ行きます。 | 京都へ行きます。	Đi đến trường học. | Đi đến Kyoto.	page-67,particle-reference,trợ-từ	ready
N4-REF-0038	N4	particle-reference	67	も: Cũng ~	Cũng ~	私もまんがが好きです。 | 兄も日本に住んでいます。	Tôi cũng thích manga. | Anh tôi cũng đang sống ở Nhật Bản.	page-67,particle-reference,trợ-từ	ready
N4-REF-0039	N4	particle-reference	67	も: Cả ~ cả ~	Cả ~ cả ~	私は犬もねこも好きです。 | 彼は日本語も英語も話せます。	Tôi thích cả chó cả mèo. | Anh ấy có thể nói được cả tiếng Nhật và tiếng Anh.	page-67,particle-reference,trợ-từ	ready
N4-REF-0040	N4	particle-reference	67	も: Nhấn mạnh ý phủ định của một hành động nào đó	Nhấn mạnh ý phủ định của một hành động nào đó	弟は勉強もしないで遊んでいる。 | 今朝は朝ごはんも食べないで家を出た。	Em trai tôi đến cả chuyện học hành cũng không chịu làm, suốt ngày chơi. | Sáng nay tôi ra khỏi nhà mà chẳng ăn cơm.	page-67,particle-reference,trợ-từ	ready
N4-REF-0041	N4	particle-reference	68	と: Chỉ đối tượng cùng thực hiện hành động	Chỉ đối tượng cùng thực hiện hành động	家族と一緒にレストランに行きます。 | 友達と京都を旅行します。	Tôi đi ăn nhà hàng cùng với gia đình. | Tôi sẽ đi du lịch Kyoto cùng với bạn.	page-68,particle-reference,trợ-từ	ready
N4-REF-0042	N4	particle-reference	68	と: Chỉ đối tượng so sánh	Chỉ đối tượng so sánh	日本とベトナムとどちらのほうが暑いですか。 | 夫と同じスマートフォン	Giữa Nhật Bản và Việt Nam thì ở đâu nóng hơn. | Chiếc điện thoại thông minh giống của chồng.	page-68,particle-reference,trợ-từ	ready
N4-REF-0043	N4	particle-reference	68	と: Trích dẫn	Trích dẫn（thường đứng trước 言います、書きます、話します、...）	母は今日の夕方病院に行くと言いました。 | 先生は最近かぜをひく人が多いと話しました。	Mẹ tôi đã nói là sẽ đi bệnh viện vào chiều tối nay. | Thầy giáo đã nói là gần đây có nhiều người bị cúm.	page-68,particle-reference,trợ-từ	ready
N4-REF-0044	N4	particle-reference	68	の: Của	Của	これは兄のスマートフォンです。 | これはだれのさいふですか。	Đây là chiếc điện thoại thông minh của anh trai tôi. | Đây là cái ví của ai?	page-68,particle-reference,trợ-từ	ready
N4-REF-0045	N4	particle-reference	68	の: Bổ nghĩa cho danh từ	Bổ nghĩa cho danh từ	病気の子供がベットで寝ています。 | 日本語の本を読みます。	Đứa con bị bệnh đang nằm ngủ trên giường. | Tôi đọc cuốn sách tiếng Nhật.	page-68,particle-reference,trợ-từ	ready
N4-REF-0046	N4	particle-reference	68	の: Kết nối vị ngữ và chủ đề trong mệnh đề bổ ngữ	Kết nối vị ngữ và chủ đề trong mệnh đề bổ ngữ（tương đương với が trong thành phần bổ ngữ）	これは妹の描いた絵です。 （＝これは妹が描いた絵です。） | これは私の書いた手紙です。 （＝これは私が書いた手紙です。）	Đây là bức tranh mà em gái tôi đã vẽ. | Đây là lá thư mà tôi đã viết.	page-68,particle-reference,trợ-từ	ready
N4-REF-0047	N4	particle-reference	68	から: Thể hiện điểm xuất phát	Thể hiện điểm xuất phát	部屋から出ます。 | 大学から帰ります。	Ra khỏi phòng. | Trở về từ trường đại học.	page-68,particle-reference,trợ-từ	ready
N4-REF-0048	N4	particle-reference	68	から: Thể hiện mốc thời gian bắt đầu làm gì đó, bắt đầu một trạng thái nào đó	Thể hiện mốc thời gian bắt đầu làm gì đó, bắt đầu một trạng thái nào đó	このレストランは11時から開いています。 | 朝からずっと勉強しています。	Cửa hàng này mở cửa từ 11 giờ. | Tôi đã học suốt từ sáng.	page-68,particle-reference,trợ-từ	ready
N4-REF-0049	N4	particle-reference	68	から: Thể hiện tình trạng, trạng thái trước khi được biến đổi	Thể hiện tình trạng, trạng thái trước khi được biến đổi	今年の春高校生から大学生になります。 | 信号が赤から青になりました。	Từ mùa xuân năm nay, tôi đã từ học sinh cấp ba trở thành sinh viên đại học. | Đèn tín hiệu đã chuyển từ màu đỏ sang màu xanh. (*Đèn xanh trong tiếng Nhật là 青)	page-68,particle-reference,trợ-từ	ready
N4-REF-0050	N4	particle-reference	69	から: Thể hiện thành phần, nguyên liệu	Thể hiện thành phần, nguyên liệu	ぶどうからワインを作ります。 | 牛乳からチーズを作ります。	Làm rượu vang từ nho. | Làm phô mai từ sữa bò.	page-69,particle-reference,trợ-từ	ready
N4-REF-0051	N4	particle-reference	69	から: Thể hiện đối tượng mà mình đã nhận hành động, sự vật, sự việc từ họ	Thể hiện đối tượng mà mình đã nhận hành động, sự vật, sự việc từ họ	これは夫からもらったかばんです。 | このペンは友達からもらいました。	Đây là cái túi mà tôi đã nhận từ chồng. | Cái bút này tôi đã nhận từ người bạn.	page-69,particle-reference,trợ-từ	ready
N4-REF-0052	N4	particle-reference	69	まで: Chỉ điểm đến	Chỉ điểm đến	家から駅まで自転車で10分です。 | 毎朝大学まで歩いて行きます。	Từ nhà đến ga hết 10 phút đi xe đạp. | Mỗi sáng tôi đều đi bộ tới trường đại học.	page-69,particle-reference,trợ-từ	ready
N4-REF-0053	N4	particle-reference	69	まで: Chỉ giới hạn	Chỉ giới hạn	この店は5時まで開いています。 | 何人までお店に入れますか。	Cửa hàng này mở cửa đến 5 giờ. | Tối đa bao nhiêu người có thể vào cửa hàng này.	page-69,particle-reference,trợ-từ	ready
