item_id	level	deck_id	source_position	pattern	meaning	usage	example_jp	example_vi	tags	status
N4-GRAMMAR-0011	N4	n4_grammar_core	11	Vて、...	vì V	diễn tả nguyên nhân, lý do	バスが来なくて、困りました。	Vì xe buýt không đến nên tôi đã phải loay hoay xoay sở.	page-48,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0012	N4	n4_grammar_core	12	V1て V2	làm V2 với trạng thái, tình trạng V1		メガネをかけて、新聞を読みます。	Tôi đeo kính đọc báo. (trạng thái đeo kính diễn ra xuyên suốt lúc đọc báo)	page-48,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0013	N4	n4_grammar_core	13	Vてある	được V sẵn	diễn tả kết quả còn lưu lại của một hành động, hành vi có chủ đích của ai đó	「明日、試験があります」と書いてあります。	Được viết rằng: "Ngày mai có bài thi."	page-48,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0014	N4	n4_grammar_core	14	Vておく	① V sẵn/V trước; ② cứ V để nguyên trạng thái như vậy		ホテルを予約しておきました。 | 忙しかったので、お皿をそのままにしておきました。	Tôi đã đặt sẵn phòng khách sạn. | Vì bận nên tôi đã để nguyên cái đĩa ở đó.	page-48,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0015	N4	n4_grammar_core	15	Vてみる	thử V		わからないので、先生に聞いてみます。	Vì không hiểu nên tôi sẽ hỏi thử giáo viên.	page-48,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0016	N4	n4_grammar_core	16	Vても	cho dù V, vậy mà,...	Ngoài ra có thể kết hợp với: Aい + くても / Aな + でも / Nでも	エアコンをつけても、涼しくなりません。 | 安くても、この服は買いません。 | 嫌でも、勉強する必要があります。 | この問題は子どもでもわかります。	Dù bật điều hòa thì cũng không mát lên. | Dù có rẻ thì tôi cũng sẽ không mua bộ quần áo này. | Dù có không thích thì vẫn cần phải học. | Bài tập này ngay cả trẻ con cũng biết.	page-48,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0017	N4	n4_grammar_core	17	まだ Vていない	vẫn chưa V		まだメールを送っていません。	Tôi vẫn chưa gửi e-mail.	page-49,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0018	N4	n4_grammar_core	18	Vてしまう	① V xong (hoàn tất); ② lỡ V mất rồi (diễn tả cảm giác tiếc nuối, hối hận)		もう全部食べてしまいました。 | 宿題を忘れてしまいました。	Tôi đã ăn hết rồi. | Tôi đã quên mất bài tập về nhà.	page-49,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0019	N4	n4_grammar_core	19	Vてはいけない	không được phép V		教科書を持って来るのを忘れてはいけません。	Không được quên mang sách giáo khoa đến.	page-49,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0020	N4	n4_grammar_core	20	Vているところだ	đúng lúc đang V		晩ごはんを食べているところです。	Đúng lúc tôi đang ăn tối.	page-49,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0021	N4	n4_grammar_core	21	(私は/が) Aから/に + Vてもらう / Vていただく	Mình nhận được V từ A/A làm V cho mình		先週、友だちのお姉さんに料理を作ってもらいました。	Tuần trước tôi đã được chị gái của bạn nấu ăn cho.	page-49,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0022	N4	n4_grammar_core	22	Aは/が Bに Vてあげる	A làm V cho B	A thường là người nói hoặc người thuộc phía người nói, người nhận hành động B thường là người có mối quan hệ ngang bằng hoặc thân thiết với người nói	友達に学校の宿題を手伝ってあげました。	Tôi đã giúp bạn làm bài tập trên trường.	page-49,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0023	N4	n4_grammar_core	23	Aは/が (私に) Vてくれる / てくださる	A làm V cho mình		先生が写真を送ってくださいました。	Giáo viên đã gửi ảnh cho tôi.	page-49,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0024	N4	n4_grammar_core	24	Vていただけませんか / くださいませんか / もらえませんか	bạn có thể V giúp tôi không?	dùng để nhờ vả, đưa ra lời đề nghị ai đó làm gì giúp mình	文章をチェックしていただけませんか。 | この日本語を直してくださいませんか。	Bạn có thể soát/kiểm tra đoạn văn cho tôi không? | Bạn có thể sửa lại cho tôi (bài văn) tiếng Nhật này không?	page-49,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0025	N4	n4_grammar_core	25	V1たり、V2たりする	nào là V1, nào là V2	liệt kê hành động không cần theo trật tự thời gian	日曜日は掃除をしたり、洗濯をしたりします。	Ngày Chủ nhật thì tôi dọn dẹp, giặt giũ quần áo...	page-50,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0026	N4	n4_grammar_core	26	Vたところです	vừa mới V xong		ちょうど今宿題が終わったところです。	Tôi vừa mới làm bài tập về nhà xong.	page-50,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0027	N4	n4_grammar_core	27	Vたら	nếu ~	điều kiện giả định; ngoài ra có thể kết hợp với: Aいかったら／Aなだったら／Nだったら	暑かったら、冷たい飲み物を飲みます。 | 明日晴れだったら、遊びに行きます。 | 雨だったら、家にいます。	Nếu trời nóng thì tôi uống nước lạnh. | Nếu ngày mai trời đẹp, tôi sẽ đi chơi. | Nếu trời mưa thì tôi ở nhà.	page-50,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0028	N4	n4_grammar_core	28	Vたら、mệnh đề quá khứ	khi V thì ~	khi thực hiện hành động V thì đã hiểu ra hoặc đã nhận ra một sự việc nào đó	外を見たら、庭に友達が立っていた。	Khi nhìn ra ngoài thì tôi đã thấy bạn tôi đang đứng ở vườn.	page-50,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0029	N4	n4_grammar_core	29	Vたほうがいいです	nên V thì hơn/ không nên V thì hơn	ngoài ra có thể kết hợp với: Vない＋ほうがいいです	風邪なら、学校を休んだほうがいいですよ。 | あの人にはもう会わないほうがいいですよ。	Nếu là bị cảm thì bạn nên nghỉ học thì hơn. | Bạn không nên gặp gỡ người đó nữa thì hơn.	page-50,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0030	N4	n4_grammar_core	30	Vたらいいですか	V thì có được/ có tốt không?	dùng để hỏi đối phương lời khuyên; thường kết hợp với các từ để hỏi như: どうしたらいいですか (Làm thế nào thì được?); どこ／いつ／だれ〜Vたらいいですか (V ở đâu/ khi nào/ (với) ai... thì được?)	やせたいんですが、どうしたらいいですか。 | 日本語の作文を書いたんですが、だれにチェックをお願いしたらいいですか。	Tôi muốn gầy đi, phải làm thế nào mới được nhỉ? | Tôi đã viết bài văn tiếng Nhật, tôi có thể nhờ ai soát lại giúp thì được?	page-50,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0031	N4	n4_grammar_core	31	Vたらどうですか	làm ~ xem sao	dùng để đưa ra đề xuất, phương án	毎日ジョギングしたらどうですか。	Hay bạn chạy bộ hằng ngày xem sao.	page-50,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0032	N4	n4_grammar_core	32	Vるな	cấm~, không được ~		そこに入るな。	Cấm vào đó!	page-51,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0033	N4	n4_grammar_core	33	Vるところ	đúng lúc, sắp, chuẩn bị ~		今から家に帰るところです。	Bây giờ tôi đang chuẩn bị về nhà.	page-51,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0034	N4	n4_grammar_core	34.1	Vる必要が／はある	cần V ~		部長に確認する必要がありますね。	Cần xác nhận với trưởng bộ phận.	page-51,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0035	N4	n4_grammar_core	34.2	Vる必要が／はない	không cần V ~		あなたは悪くないですから、謝る必要はありませんよ。	Bạn không làm gì sai cả, nên không cần phải xin lỗi đâu.	page-51,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0036	N4	n4_grammar_core	35	Vないで、〜	~ mà không V	trạng thái kèm theo; câu nói nhấn mạnh trạng thái không ăn sáng	朝ごはんを食べないで、会社へ行きました。	Tôi đã đi làm mà không ăn bữa sáng.	page-51,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0037	N4	n4_grammar_core	36	Vない＋ずに、〜	~ mà không V	giống với ～ないで; khi kết hợp với する → せずに	あの人はヘルメットをかぶらずに、バイクに乗っています。	Người đó đã lái xe máy mà không đội mũ bảo hiểm.	page-51,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0038	N4	n4_grammar_core	37	Vなくなる	không còn V		大学の友だちに会わなくなりました。	Tôi không còn gặp lại bạn bè đại học nữa.	page-51,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0039	N4	n4_grammar_core	38	なかなか Vない	mãi mà không V		日本語がなかなか上手になりません。	Tiếng Nhật mãi không giỏi lên.	page-51,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0040	N4	n4_grammar_core	39	〜しか Vない	chỉ V ~		私はブラックコーヒーしか飲みません。	Tôi chỉ uống cà phê đen.	page-52,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0041	N4	n4_grammar_core	40	Vなくてはいけない	phải V		仕事で失敗をしたときは、謝らなくてはいけない。	Khi mắc lỗi trong công việc thì phải xin lỗi.	page-52,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0042	N4	n4_grammar_core	41	Vるように／Vないように	để V, sao cho V/ để không V, sao cho không V		授業に間に合うように、早くうちを出ました。 | 忘れないように、カレンダーに書いておきます。	Để kịp giờ học thì tôi đã nhanh chóng ra khỏi nhà. | Để không quên thì tôi sẽ viết sẵn vào lịch.	page-52,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0043	N4	n4_grammar_core	42	Vるようになる／Vないようになる	có thể V/ không còn V	chỉ sự biến đổi trạng thái từ không thể thành có thể/ chỉ sự biến đổi sang trạng thái không còn thực hiện điều gì đó	アニメの日本語がわかるようになりました。 | 毎日勉強したので、だんだん忘れないようになりました。	Tôi đã bắt đầu hiểu được tiếng Nhật trong phim anime. | Vì mỗi ngày tôi đều học nên tôi đã dần trở nên không còn quên nữa.	page-52,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0044	N4	n4_grammar_core	43	Vるようにする／Vないようにする	cố gắng V/ cố gắng không V		たくさん野菜を食べて、運動するようにしています。 | 授業に遅れないようにしてください。	Tôi đang cố gắng ăn nhiều rau và vận động. | Hãy cố gắng không đến trễ giờ học.	page-52,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0045	N4	n4_grammar_core	44	Vるつもり／Vないつもり	định V/ định sẽ không V		大学を卒業したら、国へ帰るつもりです。 | 週末のパーティーには行かないつもりです。	Khi nào tốt nghiệp đại học thì tôi định trở về nước. | Tôi định không đi đến bữa tiệc cuối tuần.	page-52,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0046	N4	n4_grammar_core	45	Vることにする／Vないことにする	quyết định V/ quyết định không V		今日から毎日ピアノを練習することにする。 | これからは午後はコーヒーを飲まないことにする。	Tôi quyết định từ hôm nay sẽ luyện tập piano hằng ngày. | Tôi quyết định từ bây giờ sẽ không uống cà phê vào buổi chiều.	page-53,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0047	N4	n4_grammar_core	46	Vることになる／Vないことになる	đi đến quyết định V/ quyết định không V		私たちは結婚することになりました。 | 急な用事で、国へ帰ることになりました。	Chúng tôi đã quyết định kết hôn. | Do có việc đột xuất nên tôi đã phải về nước.	page-53,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0048	N4	n4_grammar_core	47	Vようと思う	định sẽ V/ sẽ V	thường dùng để diễn tả dự định, kế hoạch mà người nói mới quyết định hoặc nghĩ đến	じゃあ、今から家に帰ろうと思います。	Vậy tôi nghĩ bây giờ mình sẽ về nhà.	page-53,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0049	N4	n4_grammar_core	48	Vようと思っている	định sẽ V	mẫu câu diễn tả điều người nói đã cân nhắc, suy nghĩ từ lâu	大学を卒業したら、日本に留学しようと思っています。	Sau khi tốt nghiệp đại học, tôi định đi du học Nhật Bản.	page-53,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0050	N4	n4_grammar_core	49	V thể mệnh lệnh	dùng để ra lệnh, yêu cầu	Nhóm 1: Hàng「い」đứng trước「ます」đổi thành hàng「え」và bỏ「ます」; Nhóm 2: Bỏ「ます」, thêm「ろ」; Nhóm 3: 「します」→「しろ」,「来ます」→「来い」	今すぐ寝ろ。	Đi ngủ ngay đi!	page-53,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0051	N4	n4_grammar_core	50	Vられる	có thể V, V được	Mẫu câu dùng để thể hiện khả năng, năng lực của một chủ thể nào đó. Hoặc diễn tả điều kiện cho phép thực hiện một sự việc nào đó. Trợ từ đi cùng thể khả năng là「が」, tuy nhiên, trong văn nói vẫn có thể chấp nhận trợ từ「を」.	この子は野菜がたくさん入っている料理でも食べられる。	Đứa trẻ này có thể ăn cả những món ăn có nhiều rau.	page-54,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0052	N4	n4_grammar_core	51	A は B に（N を）+ V thể bị động	A bị/ được B làm gì đó (tác động đến N)		電車の中で誰かに足をふまれました。	Tôi đã bị ai đó giẫm lên chân ở trên tàu điện.	page-54,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0053	N4	n4_grammar_core	52	A は B を／に（N を）V thể sai khiến	A bắt/ cho phép B làm V		昨日の夜、母は私に料理を作らせました。 | 社長は、リンさんを日本へ出張させました。	Tối hôm qua mẹ đã bắt tôi nấu ăn. | Giám đốc đã cho Linh đi công tác Nhật Bản.	page-55,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0054	N4	n4_grammar_core	53	A は B に（N を）V bị động sai khiến	A bị B bắt làm gì đó		昨日、おじさんにお酒をたくさん飲まされました。 | ハーさんは夜10時まで仕事をさせられました。	Hôm qua tôi đã bị ông chú bắt uống nhiều rượu. | Hà hôm qua đã bị bắt làm việc đến 10 giờ đêm.	page-56,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0055	N4	n4_grammar_core	54	Aくて／Aなで	vì ~ (diễn tả nguyên nhân)		忙しくて、テレビを見る時間がありません。 | 複雑で、よくわかりません。	Vì bận rộn nên tôi không có thời gian xem ti-vi. | Vì nó rất phức tạp nên tôi không hiểu rõ.	page-56,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0056	N4	n4_grammar_core	55	Aく V／Aなに V	V một cách... (Tính từ trở thành trạng từ bổ nghĩa cho động từ phía sau)		字をきれいに書いてください。 | もっと明るく話してほしいです。	Hãy viết chữ thật đẹp. | Tôi muốn bạn nói chuyện một cách tươi tắn hơn.	page-56,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0057	N4	n4_grammar_core	56	Aくなる／Aなになる	trở nên ~		あの店のコーヒーはおいしくなりました。 | 試験問題が、少し簡単になりました。	Cà phê của quán đó đã ngon lên. | Câu hỏi bài thi đã trở nên dễ hơn một chút.	page-56,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0058	N4	n4_grammar_core	57	N + について	về ~, liên quan đến ~		この問題について、どう思いますか。	Bạn nghĩ như thế nào về vấn đề này?	page-56,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0059	N4	n4_grammar_core	58	N + によって（作られる）	được ~ bởi ~		この建物は有名な建築家によって作られました。	Toà nhà này được xây dựng bởi một kiến trúc sư nổi tiếng.	page-56,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0060	N4	n4_grammar_core	59	N1 という N2	N2 cái mà được gọi là N1		これはミーアキャットという動物です。	Đây là loài động vật có tên là Meerkat.	page-56,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0061	N4	n4_grammar_core	60	thể ngắn + と思う／と言う	nghĩ rằng ~, nói rằng ~		明日、雨が降ると思います。 | 明日は暇だと思います。	Tôi nghĩ mai trời sẽ mưa. | Tôi nghĩ mai sẽ rảnh.	page-57,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0062	N4	n4_grammar_core	61	thể ngắn + と言っていた	đã nói rằng ~, đã nói là ~		ミンさんは明日、学校を休むと言っていました。 | ダイさんは調子が悪いと言っていました。	Minh đã nói rằng ngày mai anh ấy sẽ nghỉ học. | Đại đã nói rằng cơ thể anh ấy không khoẻ.	page-57,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0063	N4	n4_grammar_core	62	thể ngắn + そうだ	truyền đạt lại thông tin đã nghe, đọc được	không dùng ở thì quá khứ:「そうでした」	日本は空気がきれいだそうですね。 | あのゲームはつまらないそうです。	Nghe nói không khí ở Nhật Bản rất trong lành. | Nghe nói trò chơi đó chán lắm!	page-57,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0064	N4	n4_grammar_core	63	thể ngắn（Aな／Nの）+ ようだ	có vẻ ~, dường như ~	dùng để đưa ra suy đoán	彼はどうやら出かけているようだ。 | 両親は私のことが心配なようです。	Có vẻ anh ấy đã ra ngoài rồi. | Có vẻ bố mẹ đang lo lắng cho tôi.	page-58,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0065	N4	n4_grammar_core	64	thể ngắn（Aな／Nだ）+ みたいだ	hình như ~, có vẻ như ~	dùng để đưa ra suy đoán	あそこで事故が起きたみたいだ。	Hình như ở đó đã xảy ra tai nạn.	page-58,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0066	N4	n4_grammar_core	65	thể ngắn（Aな／Nだ）+ らしい	nghe nói ~, hình như ~		チンさんは新しい恋人ができたらしいです。	Nghe nói/ có vẻ Chinh đã có người yêu mới rồi đấy.	page-58,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0067	N4	n4_grammar_core	66	thể ngắn + し、thể ngắn + し	dùng để liệt kê nguyên nhân, lý do; dùng để liệt kê tính chất, sự việc		おいしいし、やすいし、ベトナム料理が大好きです。 | 宿題もあるし、テニスの練習もしなければならないし、週末は忙しいです。 | あの先生はやさしいし、説明が上手だし、それにおもしろいです。	Vì ngon và còn rẻ nên tôi rất thích đồ ăn Việt Nam. | Tôi có bài tập về nhà này, còn phải luyện tập tennis này, nên cuối tuần rất bận rộn. | Giáo viên đó vừa hiền, vừa giỏi giải thích, không những thế lại còn thú vị nữa.	page-58,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0068	N4	n4_grammar_core	67	thể ngắn（Aな／Nの）+ とき	khi ~		作文を書くとき、辞書を使います。 | 学生のとき、あまり勉強しませんでした。	Khi viết luận văn, tôi thường dùng từ điển. | Hồi sinh viên, tôi đã không học hành mấy.	page-58,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0069	N4	n4_grammar_core	68	thể ngắn（Aな／Nの）+ 場合	trong trường hợp ~		雨の場合、試合は中止です。 | 遅れる場合、連絡をください。 | 新しい書類が必要な場合、言ってください。	Trong trường hợp trời mưa, trận đấu sẽ bị huỷ. | Trong trường hợp đến muộn, hãy liên lạc ngay nhé. | Trong trường hợp cần giấy tờ mới thì hãy nói cho tôi biết.	page-58,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0070	N4	n4_grammar_core	69	thể ngắn（Aな／Nだ）+ でしょう	chắc, có lẽ ~	thể hiện sự phán đoán của người nói	明日の試合は日本が勝つでしょう。 | 北海道は今、寒いでしょう。	Chắc trận đấu ngày mai thì Nhật sẽ thắng thôi, đúng không? | Chắc Hokkaidou bây giờ lạnh lắm nhỉ?	page-59,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0071	N4	n4_grammar_core	70	thể ngắn（Aな／Nだ）+ でしょう？／だろう？	~ phải không?	thường lên giọng ở cuối câu, dùng để xác nhận, tìm kiếm sự đồng ý từ đối phương	先週、デパートへ行ったでしょう？ | 学校は楽しいでしょう？	Bạn đã đến bách hoá tuần trước đúng không? | Đi học (Trường học) vui mà, đúng không?	page-59,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0072	N4	n4_grammar_core	71	thể ngắn（Aな／Nだ）+ かもしれません	có lẽ ~ không chừng		会社をやめるかもしれません。 | 来週は忙しいかもしれません。	Có lẽ tôi sẽ nghỉ việc không chừng. | Có lẽ tuần sau sẽ bận rộn không chừng.	page-59,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0073	N4	n4_grammar_core	72	thể ngắn（Aな／Nだ）+ んだ／のだ	giải thích nguyên nhân, lý do, trình bày sự tình, hoàn cảnh của bản thân	Ở dạng câu hỏi「んですか／のですか」, mẫu câu thường dùng để hỏi thông tin chi tiết của đối phương hoặc xác nhận thông tin liên quan đến đối phương.	大丈夫ですか。昨日から頭が痛いんです。 | 赤いのがほしいんです。 | 明日、学校を休むんですか。	Cậu có bị sao không? Tớ bị đau đầu từ hôm qua. | Tôi muốn cái màu đỏ. | Ngày mai cậu nghỉ học đấy à?	page-59,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0074	N4	n4_grammar_core	73	thể ngắn（Aな／Nな）+ ので	vì ~	giải thích nguyên nhân, lý do	バスが遅れたので、遅刻してしまいました。 | この子は頭がいいので、すぐに覚えます。 | 母のことが心配なので、電話をかけました。	Vì xe buýt đến trễ nên tôi đã bị muộn giờ. | Đứa trẻ này thông minh nên nhớ ngay lập tức. | Vì lo lắng cho mẹ nên tôi đã gọi điện thoại.	page-59,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0075	N4	n4_grammar_core	74	thể ngắn（Aな、Nな）+ のに	~ thế mà, vậy mà		たくさん勉強したのに、テストで間違えてしまいました。 | このマンガはおもしろいのに、あまり人気がありません。	Mặc dù học rõ chăm chỉ thế mà vẫn bị sai trong bài kiểm tra. | Truyện tranh này thú vị vậy mà không nổi tiếng mấy.	page-59,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
N4-GRAMMAR-0076	N4	n4_grammar_core	75	thể ngắn（Aな、Nな）+ のは／のが	việc ~	dùng để danh từ hóa thành phần đứng trước	歌を歌うのが好きです。 | 私が生まれたのは、1973年です。 | 今回の旅行で残念だったのは、天気が悪かったことです。 | 問題なのは、彼が会社に来ないことです。	Tôi thích việc ca hát. | Năm tôi sinh là năm 1973. | Điều đáng tiếc trong chuyến du lịch lần này là thời tiết xấu. | Vấn đề là anh ấy không đến công ty.	page-60,te-form,ngữ-pháp-kết-hợp-cùng-động-từ-thể-te	ready
